index,label,trace,logdet,off_diag_mass
0,7,39.678932189941406,-6286.68896484375,3200.354736328125
1,2,35.969940185546875,-6274.5634765625,2582.27392578125
2,1,39.532230377197266,-6286.87841796875,3244.884765625
3,0,37.86407470703125,-6277.75341796875,2731.65185546875
4,4,39.44627380371094,-6277.09130859375,3047.81787109375
5,1,40.363250732421875,-6277.4033203125,3070.884521484375
6,4,41.097503662109375,-6280.78369140625,3020.97265625
7,9,40.683013916015625,-6278.26904296875,3327.72705078125
8,5,37.882850646972656,-6282.216796875,2860.93359375
9,9,39.30387878417969,-6271.26953125,2827.53076171875
10,0,38.696571350097656,-6283.7236328125,3167.48388671875
11,6,40.712745666503906,-6273.7578125,2948.004638671875
12,9,40.02330017089844,-6275.61376953125,2764.646240234375
13,0,39.23483657836914,-6279.734375,3044.454833984375
14,1,38.83116149902344,-6275.04150390625,2745.846923828125
15,5,34.1939811706543,-6284.3984375,2889.224853515625
16,9,39.12593460083008,-6282.876953125,3414.800537109375
17,7,38.543697357177734,-6285.599609375,3244.632080078125
18,3,39.36299514770508,-6279.82373046875,2846.15087890625
19,4,38.345359802246094,-6283.60986328125,3197.21533203125
20,9,41.78695297241211,-6274.9228515625,3042.640380859375
21,6,38.282867431640625,-6275.69384765625,2939.859130859375
22,6,39.3962287902832,-6283.134765625,3404.497314453125
23,5,36.88260269165039,-6276.74169921875,2731.466552734375
24,4,40.298038482666016,-6273.75537109375,2891.947265625
25,0,41.64243698120117,-6284.17724609375,3246.803955078125
26,7,38.30519104003906,-6280.39013671875,3227.357421875
27,4,37.90105056762695,-6285.70166015625,3454.037841796875
28,0,37.9128532409668,-6282.46728515625,3045.31591796875
29,1,37.43862533569336,-6282.08447265625,3065.878173828125
30,3,38.24350357055664,-6280.154296875,3009.96044921875
31,1,38.39990234375,-6282.65185546875,3197.812255859375
32,3,37.598289489746094,-6292.40380859375,3259.636962890625
33,4,40.08816909790039,-6280.64013671875,2969.851806640625
34,7,39.489131927490234,-6279.3232421875,2899.67578125
35,2,37.017269134521484,-6282.55810546875,2981.465087890625
36,7,38.081424713134766,-6277.7919921875,3192.32080078125
37,1,40.59791564941406,-6278.7509765625,3024.65478515625
38,2,35.718379974365234,-6279.90234375,2805.73828125
39,1,39.3630485534668,-6283.3310546875,3435.781005859375
40,1,39.441673278808594,-6280.390625,3051.364013671875
41,7,38.167747497558594,-6280.173828125,3118.4931640625
42,4,39.042884826660156,-6286.1865234375,3277.847412109375
43,2,40.32272720336914,-6280.4599609375,3317.86376953125
44,3,39.94452667236328,-6275.65283203125,3129.025390625
45,5,36.70368576049805,-6287.2099609375,3161.181396484375
46,1,39.43928527832031,-6283.12841796875,3078.876220703125
47,2,38.63922882080078,-6282.87109375,3242.943115234375
48,4,40.23354721069336,-6277.6455078125,2996.29345703125
49,4,41.85667037963867,-6275.81787109375,3014.2822265625
50,6,39.98107147216797,-6275.11181640625,2769.390625
51,3,38.72028350830078,-6278.60693359375,2914.575927734375
52,5,38.525115966796875,-6276.189453125,2888.70556640625
53,5,39.54470443725586,-6277.78125,2853.47119140625
54,6,39.015411376953125,-6284.25830078125,3108.72802734375
55,0,36.40045928955078,-6277.021484375,2777.953125
56,4,36.976322174072266,-6285.01806640625,3219.11279296875
57,1,39.50191879272461,-6279.62060546875,3064.7958984375
58,9,41.056339263916016,-6280.0986328125,3055.26123046875
59,5,38.70636749267578,-6279.8154296875,2924.10986328125
60,7,38.432334899902344,-6279.0908203125,3119.25634765625
61,8,37.747676849365234,-6275.20947265625,2856.0458984375
62,9,38.759422302246094,-6285.923828125,3232.966064453125
63,3,39.45939254760742,-6285.912109375,3176.181884765625
